id,age,gender,activities,bike,run,swim,other,1s_critical_power,15s_critical_power,2m_critical_power,3m_critical_power,5m_critical_power,8m_critical_power,10m_critical_power,20m_critical_power,30m_critical_power,1m_peak_wpk,5m_peak_wpk,10m_peak_wpk,20m_peak_wpk,30m_peak_wpk,20s_peak,20s_peak_wpk,60s_peak,60s_peak_wpk,180s_peak,180s_peak_wpk,240s_peak,240s_peak_wpk,420s_peak,420s_peak_wpk,720s_peak,720s_peak_wpk,weightkg, weightstd
273db309-f12f-4520-82ed-0978d5009cc3,20,M,657,249,250,118,40,2557.0,832.4,353.775,347.99444,334.81333,309.9125,306.61333,295.41,279.62222,6.32844,4.46418,4.08818,3.9388,3.7283,810,10.8,475,6.333333333333333,348,4.64,341,4.546666666666667,315,4.2,304,4.053333333333334,75.0,0.0
59747400-486b-4c0f-bb30-989fe8b7b87a,28,M,97,51,27,18,1,656.0,403.8,273.95,261.35,259.16667,248.84167,246.27667,237.72,235.21722,3.71167,3.23958,3.07846,2.9715,2.94022,376,4.7,297,3.7125,261,3.2625,262,3.275,253,3.1625,242,3.025,80.0,0.0
be3b662e-6fda-4c4f-85f8-812a364657f7,24,M,472,472,0,0,0,1259.0,1012.8,440.60833,395.38333,356.62667,338.75833,337.67667,333.6675,307.33222,10.36106,6.48412,6.13958,6.06668,5.58786,873,15.872727272727273,570,10.363636363636363,395,7.181818181818182,361,6.5636363636363635,339,6.163636363636364,337,6.127272727272727,55.0,0.0
705d4ac7-258c-42d6-9ff6-c74b3dbb04c7,56,M,536,504,0,6,26,1000.0,932.44207,348.31667,335.46111,321.3,285.45833,283.515,271.1275,248.32778,6.09741,4.41635,3.85715,3.75796,3.43231,844,11.149273447820343,452,6.091094493541808,335,4.6143250688705235,324,4.462809917355372,288,4.002779708130646,282,3.834126444595513,74.8031026119403,2.0612861003708214
939eabb2-f1e4-4bce-8281-2baf58a8f772,68,M,267,266,0,0,1,1000.0,708.68027,417.72983,387.31889,330.11177,260.70057,265.10457,225.34905,219.48396,6.42395,4.64946,3.73387,3.17393,3.09132,644,9.070422535211268,456,6.422535211267606,387,5.450704225352113,362,5.098591549295775,272,3.8309859154929575,236,3.323943661971831,71.0,0.0
3a24a018-500c-408c-b9cf-b520b3fa1871,42,M,217,109,8,0,100,662.0,527.93333,274.43333,263.72222,241.83333,216.39583,209.46667,198.27667,192.03778,5.7959,3.72051,3.22256,3.05041,2.95443,521,8.015384615384615,377,5.8,264,4.061538461538461,252,3.876923076923077,221,3.4,205,3.1538461538461537,65.0,0.0
e8306f0a-cfb4-43e3-9194-48ff3d39ef67,30,M,65,36,0,0,29,1280.0,640.2,414.38333,384.94444,353.42333,336.08542,329.99167,305.05,293.57833,6.33037,4.84142,4.52043,4.17877,4.02162,584,8.0,462,6.328767123287672,385,5.273972602739726,371,5.082191780821918,341,4.671232876712328,327,4.47945205479452,73.0,0.0
4727f484-f08d-48cd-b680-e3625aaa5d50,50,M,458,444,5,0,9,1588.0,1271.05133,457.41669,390.96057,302.07445,266.77449,254.425,239.8425,229.37167,7.30293,3.34523,2.81755,2.65606,2.54011,1182,13.089700996677742,659,7.297895902547066,391,4.330011074197121,345,3.820598006644518,284,3.1450719822812845,249,2.7574750830564785,90.303711790393,0.07943578329771976
b8eb3255-1b80-4a3b-8469-28ef6696c547,39,M,96,85,0,0,11,991.0,853.93333,438.64167,423.05556,397.72,358.03958,339.84667,314.63833,303.10667,6.87881,5.68171,4.85495,4.49483,4.3301,788,11.257142857142858,482,6.885714285714286,423,6.042857142857143,411,5.871428571428571,372,5.314285714285714,331,4.728571428571429,70.0,0.0
810e205d-4e6c-4473-a5c4-a8b7568da315,51,M,649,646,0,0,3,2489.0,1349.46667,511.84775,507.66578,447.94625,432.02721,436.92863,394.82851,322.90862,8.03114,5.97262,5.82572,5.26438,4.30545,1039,13.853333333333333,602,8.026666666666667,508,6.773333333333333,467,6.226666666666667,443,5.906666666666666,431,5.746666666666667,75.0,0.0
